id,age,age40,category,city,country,institutions,male,money,response
104085,3,0,3,Zagreb,Croatia,2,0,1,100
104068,3,0,1,Zagreb,Croatia,0,0,0,0
104083,3,0,3,Zagreb,Croatia,2,1,1,100
104074,5,1,2,Zagreb,Croatia,1,0,0,100
104008,5,1,4,Zagreb,Croatia,3,0,1,0
104069,5,1,5,Zagreb,Croatia,4,0,1,100
104028,4,1,5,Zagreb,Croatia,4,1,0,100
104100,2,0,3,Zagreb,Croatia,2,0,0,100
104114,3,0,1,Zagreb,Croatia,0,0,0,0
104013,4,1,4,Zagreb,Croatia,3,0,0,0
104023,3,0,1,Zagreb,Croatia,0,1,0,100
104039,3,0,4,Zagreb,Croatia,3,0,0,0
104087,5,1,4,Zagreb,Croatia,3,0,1,0
104009,5,1,4,Zagreb,Croatia,3,0,0,0
104035,5,1,2,Zagreb,Croatia,1,1,1,100
104066,5,1,1,Zagreb,Croatia,0,1,1,100
104109,5,1,3,Zagreb,Croatia,2,1,0,100
104078,4,1,5,Zagreb,Croatia,4,1,0,0
104016,5,1,4,Zagreb,Croatia,3,0,1,100
104103,5,1,1,Zagreb,Croatia,0,1,0,100
104003,2,0,2,Zagreb,Croatia,1,0,1,100
104027,6,1,4,Zagreb,Croatia,3,0,1,0
105012,3,0,3,Osijek,Croatia,2,1,1,0
105036,2,0,5,Osijek,Croatia,4,1,1,100
105042,6,1,2,Osijek,Croatia,1,0,0,0
105009,3,0,2,Osijek,Croatia,1,0,1,100
105041,5,1,4,Osijek,Croatia,3,0,1,0
105033,4,1,3,Osijek,Croatia,2,0,1,100
105008,4,1,1,Osijek,Croatia,0,1,0,100
105013,2,0,5,Osijek,Croatia,4,1,0,0
105017,4,1,1,Osijek,Croatia,0,0,0,0
105007,4,1,3,Osijek,Croatia,2,0,0,100
105021,2,0,1,Osijek,Croatia,0,0,1,0
105038,3,0,2,Osijek,Croatia,1,0,1,100
105024,4,1,5,Osijek,Croatia,4,0,0,0
105004,4,1,3,Osijek,Croatia,2,0,0,0
105039,2,0,3,Osijek,Croatia,2,0,1,100
105032,3,0,3,Osijek,Croatia,2,1,1,100
105031,2,0,2,Osijek,Croatia,1,1,0,100
105026,3,0,4,Osijek,Croatia,3,1,1,0
105043,3,0,5,Osijek,Croatia,4,1,0,100
105028,3,0,1,Osijek,Croatia,0,0,1,0
105029,4,1,5,Osijek,Croatia,4,1,1,100
105027,4,1,5,Osijek,Croatia,4,1,0,100
105010,3,0,1,Osijek,Croatia,0,0,0,100
105020,3,0,1,Osijek,Croatia,0,1,0,0
105035,3,0,5,Osijek,Croatia,4,1,1,100
105022,3,0,1,Osijek,Croatia,0,1,1,100
105006,4,1,4,Osijek,Croatia,3,0,0,0
105034,2,0,2,Osijek,Croatia,1,1,0,100
105015,3,0,5,Osijek,Croatia,4,1,1,100
105030,5,1,3,Osijek,Croatia,2,0,0,0
105005,4,1,1,Osijek,Croatia,0,0,1,100
105023,5,1,3,Osijek,Croatia,2,1,1,100
105019,2,0,1,Osijek,Croatia,0,0,0,0
105040,4,1,4,Osijek,Croatia,3,0,1,100
105037,4,1,4,Osijek,Croatia,3,0,0,0
105003,3,0,1,Osijek,Croatia,0,0,0,0
105016,3,0,3,Osijek,Croatia,2,1,0,0
105018,4,1,1,Osijek,Croatia,0,0,1,0
105011,4,1,3,Osijek,Croatia,2,0,0,100
105025,3,0,2,Osijek,Croatia,1,1,1,100
105014,3,0,1,Osijek,Croatia,0,1,0,0
105001,3,0,1,Osijek,Croatia,0,0,1,100
105002,4,1,1,Osijek,Croatia,0,0,1,0
201091,2,0,3,Prague,Czech Republic,2,0,0,100
201121,5,1,2,Prague,Czech Republic,1,1,1,0
201108,4,1,3,Prague,Czech Republic,2,0,1,100
201063,2,0,1,Prague,Czech Republic,0,0,1,100
201084,3,0,1,Prague,Czech Republic,0,0,1,100
201078,6,1,5,Prague,Czech Republic,4,1,0,100
201015,2,0,1,Prague,Czech Republic,0,1,0,100
201134,2,0,4,Prague,Czech Republic,3,0,0,0
201019,5,1,5,Prague,Czech Republic,4,0,1,100
201130,4,1,4,Prague,Czech Republic,3,0,1,100
201003,3,0,1,Prague,Czech Republic,0,0,0,100
201006,2,0,2,Prague,Czech Republic,1,0,0,100
201083,4,1,3,Prague,Czech Republic,2,0,1,100
201124,2,0,1,Prague,Czech Republic,0,1,0,100
201060,3,0,5,Prague,Czech Republic,4,0,0,0
201022,5,1,2,Prague,Czech Republic,1,0,1,100
201102,4,1,4,Prague,Czech Republic,3,0,1,0
201100,5,1,2,Prague,Czech Republic,1,0,0,100
201002,5,1,5,Prague,Czech Republic,4,1,1,100
201133,3,0,5,Prague,Czech Republic,4,0,1,100
201051,4,1,3,Prague,Czech Republic,2,0,1,100
201012,3,0,3,Prague,Czech Republic,2,0,0,0
201008,5,1,1,Prague,Czech Republic,0,0,1,100
201029,4,1,3,Prague,Czech Republic,2,1,0,0
201059,3,0,1,Prague,Czech Republic,0,0,0,0
201048,2,0,1,Prague,Czech Republic,0,0,1,100
201028,3,0,1,Prague,Czech Republic,0,0,0,0
201095,3,0,2,Prague,Czech Republic,1,0,1,100
201077,2,0,1,Prague,Czech Republic,0,1,1,100
